admin0name,admin1name,admin2name,crop_area,flood_area,pop_sum,year
Ghana,Upper East,Kasena Nankana East,52.13228620145913,128.78497245373322,0.0,2007
Ghana,Upper East,Binduri,36.494566497108565,71.34282874803733,0.0,2007
Ghana,Upper West,Lawra,148.36509304718606,507.47087801767464,0.0,2007
Ghana,Upper West,Jirapa,72.80394417389476,256.0180668815812,0.0,2007
Ghana,Upper West,Nandom,37.764088641357446,358.4471404869652,0.0,2007
Ghana,Upper West,Sissala East,90.50142758724425,229.999086357206,0.0,2007
Ghana,Upper West,Wa East,44.880341210769956,176.45763766850467,0.0,2007
Ghana,Upper West,Nadowli / Kaleo,117.38134009385054,527.5730145904416,4.0,2007
Ghana,Upper West,Daffiama Bussie,1.1817960150026807,76.80240288495227,0.0,2007
Ghana,Upper West,Sissala  West,11.153533819580076,100.46895669493446,0.0,2007
Ghana,Upper West,Wa Municipal,1.1447922363281249,6.41237550312117,0.0,2007
Ghana,Upper West,Lambussie Karni,20.99578491821288,98.94487093766782,0.0,2007
Ghana,Upper West,Wa West,72.76299404117378,453.99857694635153,0.0,2007
Ghana,Greater Accra,Ga West,0.7679190010340073,2.703096459745519,0.0,2007
Ghana,Greater Accra,Ga Central Municipal,0.0,7.198491323002832,9.0,2007
Ghana,Greater Accra,Ledzokuku / Krowor,0.0,1.5326631618125761,0.0,2007
Ghana,Greater Accra,Ada West,112.9733105904848,649.1645390309978,484.0,2007
Ghana,Greater Accra,Ashaiman,0.0,0.2299166737275965,0.0,2007
Ghana,Greater Accra,Shai Osu Doku,46.86060491943359,230.76900746847772,0.0,2007
Ghana,Greater Accra,Kpone Katamanso,21.714496743068338,50.0711621686868,0.0,2007
Ghana,Greater Accra,Tema Metropolis,0.6228437377929686,62.31357765289916,15.0,2007
Ghana,Greater Accra,La Nkwantanang Madina,0.2668813232421875,0.2668813232421875,0.0,2007
Ghana,Greater Accra,Ga South,18.45269386517693,490.63164948211227,1041.2,2007
