Region,Treatment,year,perc_pop
Twifo Ati-Morkwa,1,2015,0.0001450358684859371
Twifo Ati-Morkwa,1,2016,0.0031907891066906163
Twifo Ati-Morkwa,1,2017,0.0001450358684859371
Twifo Ati-Morkwa,1,2018,0.0001450358684859371
Twifo Ati-Morkwa,1,2019,0.00043510760545781133
Twifo Ati-Morkwa,1,2020,0.0
Yendi Municipal,1,2015,9.048765887544722e-05
Yendi Municipal,1,2016,9.048765887544722e-05
Yendi Municipal,1,2017,9.048765887544722e-05
Yendi Municipal,1,2018,0.0
Yendi Municipal,1,2019,9.048765887544722e-05
Yendi Municipal,1,2020,0.00018097531775089444
Wa West,1,2015,0.0002007226013649137
Wa West,1,2016,0.0
Wa West,1,2017,0.0
Wa West,1,2018,0.00030108390204737056
Wa West,1,2019,0.00010036130068245684
Wa West,1,2020,0.0
Chereponi,1,2015,0.0
Chereponi,1,2016,0.0
Chereponi,1,2017,0.0
Chereponi,1,2018,0.0
Chereponi,1,2019,0.0
Chereponi,1,2020,0.00037315331512797453
Atwima Mponua,1,2015,0.00012957843814789222
Atwima Mponua,1,2016,0.00032394609536973054
Atwima Mponua,1,2017,0.000712681409813407
Atwima Mponua,1,2018,0.00032394609536973054
Atwima Mponua,1,2019,0.00032394609536973054
Atwima Mponua,1,2020,0.0
Upper Denkyira West,1,2015,0.0008494910505372657
Upper Denkyira West,1,2016,0.0004023904976229154
Upper Denkyira West,1,2017,0.0005365206634972206
Upper Denkyira West,1,2018,0.0019225323775317067
Upper Denkyira West,1,2019,0.0012518815481601814
Upper Denkyira West,1,2020,0.0004023904976229154
Ningo Prampram,1,2015,0.0
Ningo Prampram,1,2016,0.00011542512516412009
Ningo Prampram,1,2017,0.00028856281291030024
Ningo Prampram,1,2018,0.00011542512516412009
Ningo Prampram,1,2019,0.00023085025032824018
Ningo Prampram,1,2020,0.0
Wassa East,1,2015,0.00035931012456084314
Wassa East,1,2016,0.0
Wassa East,1,2017,0.00035931012456084314
Wassa East,1,2018,0.00035931012456084314
Wassa East,1,2019,0.00035931012456084314
Wassa East,1,2020,0.00035931012456084314
Amansie Central,1,2015,0.0012588709851377292
Amansie Central,1,2016,0.0010388489829375094
Amansie Central,1,2017,0.00022002200220022002
Amansie Central,1,2018,0.0010388489829375094
Amansie Central,1,2019,0.0008800880088008801
