Region,Avg Impact Per Year - People,Avg Impact Per Year - Crops,Risk,Risk_Norm,Treatment
Agona East,0.8,0.0016666666666666663,0.8016666666666667,-0.22476498788390195,1
Asante Akim Central Municipal,0.6833333333333333,0.0016666666666666663,0.685,-0.22764741614101827,1
Wassa Amenfi West,0.6666666666666666,0.012,0.6786666666666666,-0.22780389081783317,1
Birim North,0.65,0.006999999999999999,0.657,-0.2283391989227262,1
Nadowli / Kaleo,0.4,0.2335,0.6335000000000001,-0.22891980232880246,1
Jirapa,0.4,0.2283333333333333,0.6283333333333333,-0.22904745272304616,1
Ga Central Municipal,0.6,0.0,0.6,-0.22974747101406015,1
Nanumba South,0.0,0.5686666666666667,0.5686666666666667,-0.2305216088888285,1
Kpone Katamanso,0.5,0.03233333333333333,0.5323333333333333,-0.2314192794031876,1
Gomoa East,0.5,0.0021666666666666666,0.5021666666666667,-0.23216459299538483,1
Akatsi South,0.45,0.048,0.498,-0.23226753686171042,1
Mion,0.0,0.4828333333333333,0.4828333333333333,-0.2326422525351355,1
Lawra,0.0,0.4671666666666667,0.4671666666666667,-0.23302932147251967,1
Kwaebibirem,0.45,0.0026666666666666666,0.45266666666666666,-0.23338756612733272,1
Tarkwa Nsuaem,0.4,0.03933333333333334,0.43933333333333335,-0.2337169864995746,1
Adenta,0.4,0.011666666666666669,0.4116666666666667,-0.23440053377197645,1
La Nkwantanang Madina,0.4,0.0006666666666666666,0.40066666666666667,-0.234672305579076,1
Lower Manya,0.3833333333333333,0.0105,0.3938333333333333,-0.23484113351984995,1
Bawku West,0.0,0.3230000000000001,0.3230000000000001,-0.23659117924738482,1
Sagnerigu,0.3,0.0051666666666666675,0.30516666666666664,-0.23703177899525835,1
Talensi,0.0,0.2921666666666667,0.2921666666666667,-0.23735296385819415,1
Asante Akim North,0.0,0.22416666666666665,0.22416666666666665,-0.23903300775662764,1
Daffiama Bussie,0.2,0.006,0.20600000000000002,-0.2394818430138072,1
Bongo,0.0,0.18016666666666667,0.18016666666666667,-0.2401200949850258,1
Kasena Nankana West,0.0,0.1635,0.1635,-0.24053187045032812,1
Sissala East,0.0,0.15,0.15,-0.240865408577223,1
Bunkpurugu Yonyo,0.0,0.1495,0.1495,-0.2408777618411821,1
Ketu North,0.0,0.12566666666666668,0.12566666666666668,-0.2414666007565644,1
Nandom,0.0,0.10083333333333334,0.10083333333333334,-0.24208014619986487,1
Zabzugu,0.0,0.08766666666666667,0.08766666666666667,-0.2424054488174537,1
Mamprusi East,0.0,0.08083333333333334,0.08083333333333334,-0.24257427675822768,1
Bolgatanga Municipal,0.0,0.073,0.073,-0.24276781122691976,1
West Gonja,0.0,0.07283333333333332,0.07283333333333332,-0.2427719289815728,1
Tatale,0.0,0.05616666666666666,0.05616666666666666,-0.24318370444687515,1
Bawku Municipal,0.0,0.046500000000000014,0.046500000000000014,-0.24342253421675047,1
North Dayi,0.0,0.04383333333333333,0.04383333333333333,-0.24348841829119883,1
Effutu,0.0,0.04166666666666666,0.04166666666666666,-0.24354194910168817,1
Sawla / Tuna / Kalba,0.0,0.04133333333333333,0.04133333333333333,-0.24355018461099417,1
Gushiegu,0.0,0.04016666666666666,0.04016666666666666,-0.24357900889356537,1
Lambussie Karni,0.0,0.034833333333333334,0.034833333333333334,-0.2437107770424621,1
Sissala  West,0.0,0.027666666666666662,0.027666666666666662,-0.2438878404925421,1
Afadzato South,0.0,0.02633333333333333,0.02633333333333333,-0.2439207825297663,1
Kpando Municipal,0.0,0.02266666666666666,0.02266666666666666,-0.2440113731321328,1
Atebubu Amantin,0.0,0.021,0.021,-0.24405255067866302,1
Pusiga,0.0,0.01683333333333334,0.01683333333333334,-0.24415549454498864,1
Kintampo South,0.0,0.01666666666666667,0.01666666666666667,-0.24415961229964162,1
Kwahu East,0.0,0.0165,0.0165,-0.24416373005429465,1
Wa Municipal,0.0,0.01133333333333333,0.01133333333333333,-0.2442913804485384,1
Denkyembour,0.0,0.010833333333333332,0.010833333333333332,-0.24430373371249745,1
Awutu Senya West,0.0,0.0105,0.0105,-0.24431196922180348,1
Asutifi North,0.0,0.009166666666666668,0.009166666666666668,-0.2443449112590277,1
Assin North,0.0,0.008833333333333334,0.008833333333333334,-0.24435314676833372,0
Yilo Krobo,0.0,0.008666666666666666,0.008666666666666666,-0.24435726452298676,0
Awutu Senya East Municipal,0.0,0.007666666666666667,0.007666666666666667,-0.2443819710509049,0
Adaklu,0.0,0.0061666666666666675,0.0061666666666666675,-0.2444190308427821,0
Akatsi North,0.0,0.005666666666666667,0.005666666666666667,-0.24443138410674117,0
Ga West,0.0,0.005666666666666667,0.005666666666666667,-0.24443138410674117,0
Nabdam,0.0,0.0041666666666666675,0.0041666666666666675,-0.24446844389861838,0
Atwima Nwabiagya,0.0,0.0035,0.0035,-0.24448491491723046,0
Atwima Kwanwoma,0.0,0.0033333333333333327,0.0033333333333333327,-0.2444890326718835,0
Ejura Sekye Dumase,0.0,0.003,0.003,-0.24449726818118955,0
West Akim,0.0,0.0026666666666666666,0.0026666666666666666,-0.2445055036904956,0
Bekwai Municipal,0.0,0.0025,0.0025,-0.24450962144514862,0
Nsawam Adoagyiri,0.0,0.0021666666666666666,0.0021666666666666666,-0.24451785695445463,0
Upper Denkyira East,0.0,0.0021666666666666666,0.0021666666666666666,-0.24451785695445463,0
Bosome Freho,0.0,0.0016666666666666663,0.0016666666666666663,-0.24453021021841373,0
Ahafo Ano South,0.0,0.0015,0.0015,-0.24453432797306676,0
Kwahu West,0.0,0.0015,0.0015,-0.24453432797306676,0
Sekyere Central,0.0,0.0015,0.0015,-0.24453432797306676,0
Akwapem South,0.0,0.0011666666666666663,0.0011666666666666663,-0.24454256348237283,0
Birim Municipal,0.0,0.0011666666666666663,0.0011666666666666663,-0.24454256348237283,0
Ahafo Ano North,0.0,0.001,0.001,-0.24454668123702583,0
Ajumako / Enyan / Esiam,0.0,0.001,0.001,-0.24454668123702583,0
East Akim,0.0,0.001,0.001,-0.24454668123702583,0
Wenchi,0.0,0.0005,0.0005,-0.24455903450098487,0
Nkoranza North,0.0,0.0005,0.0005,-0.24455903450098487,0
New Juaben Municipal,0.0,0.0005,0.0005,-0.24455903450098487,0
Asante Akim South,0.0,0.0005,0.0005,-0.24455903450098487,0
Tain,0.0,0.0005,0.0005,-0.24455903450098487,0
Asutifi South,0.0,0.0005,0.0005,-0.24455903450098487,0
Ayensuano,0.0,0.0005,0.0005,-0.24455903450098487,0
Suhum Municipal,0.0,0.0005,0.0005,-0.24455903450098487,0
Afigya Kwabre,0.0,0.0005,0.0005,-0.24455903450098487,0
Ho Municipal,0.0,0.0005,0.0005,-0.24455903450098487,0
Agotime Ziope,0.0,0.0005,0.0005,-0.24455903450098487,0
Ledzokuku / Krowor,0.0,0.0,0.0,-0.24457138776494397,0
Tano North,0.0,0.0,0.0,-0.24457138776494397,0
Kma,0.0,0.0,0.0,-0.24457138776494397,0
Ga East,0.0,0.0,0.0,-0.24457138776494397,0
Mampong Municipal,0.0,0.0,0.0,-0.24457138776494397,0
Nkoranza South,0.0,0.0,0.0,-0.24457138776494397,0
Juabeso,0.0,0.0,0.0,-0.24457138776494397,0
Mpohor,0.0,0.0,0.0,-0.24457138776494397,0
La Dade Kotopon,0.0,0.0,0.0,-0.24457138776494397,0
Ho West,0.0,0.0,0.0,-0.24457138776494397,0
Hohoe Municipal,0.0,0.0,0.0,-0.24457138776494397,0
Jaman North,0.0,0.0,0.0,-0.24457138776494397,0
Jaman South,0.0,0.0,0.0,-0.24457138776494397,0
Kadjebi,0.0,0.0,0.0,-0.24457138776494397,0
Tano South,0.0,0.0,0.0,-0.24457138776494397,0
Jasikan,0.0,0.0,0.0,-0.24457138776494397,0
Sekondi Takoradi,0.0,0.0,0.0,-0.24457138776494397,0
Techiman Municipal,0.0,0.0,0.0,-0.24457138776494397,0
Birim South,0.0,0.0,0.0,-0.24457138776494397,0
Berekum,0.0,0.0,0.0,-0.24457138776494397,0
Bia East,0.0,0.0,0.0,-0.24457138776494397,0
Asokore Mampong Municipal,0.0,0.0,0.0,-0.24457138776494397,0
Ashaiman,0.0,0.0,0.0,-0.24457138776494397,0
Adansi North,0.0,0.0,0.0,-0.24457138776494397,0
Agona West,0.0,0.0,0.0,-0.24457138776494397,0
Dormaa East,0.0,0.0,0.0,-0.24457138776494397,0
Asunafo South,0.0,0.0,0.0,-0.24457138776494397,0
Bodi,0.0,0.0,0.0,-0.24457138776494397,0
Bia West,0.0,0.0,0.0,-0.24457138776494397,0
Asikuma / Odoben / Brakwa,0.0,0.0,0.0,-0.24457138776494397,0
Kwabre,0.0,0.0,0.0,-0.24457138776494397,0
Akyem Mansa,0.0,0.0,0.0,-0.24457138776494397,0
Akwapem North,0.0,0.0,0.0,-0.24457138776494397,0
Dormaa West,0.0,0.0,0.0,-0.24457138776494397,0
Asunafo North,0.0,0.0,0.0,-0.24457138776494397,0
Techiman North,0.0,0.0,0.0,-0.24457138776494397,0
Offinso North,0.0,0.0,0.0,-0.24457138776494397,0
Twifo Lower Denkyira,0.0,0.0,0.0,-0.24457138776494397,0
Upper West Akim,0.0,0.0,0.0,-0.24457138776494397,0
Sunyani West,0.0,0.0,0.0,-0.24457138776494397,0
Sunyani Municipal,0.0,0.0,0.0,-0.24457138776494397,0
Suaman,0.0,0.0,0.0,-0.24457138776494397,0
Offinso Municipal,0.0,0.0,0.0,-0.24457138776494397,0
Sefwi Akontombra,0.0,0.0,0.0,-0.24457138776494397,0
Assin South,0.0,0.0,0.0,-0.24457138776494397,0
Sefwi-Wiawso,0.0,0.0,0.0,-0.24457138776494397,0
Sekyere Afram Plains North,0.0,0.0,0.0,-0.24457138776494397,0
Sekyere East,0.0,0.0,0.0,-0.24457138776494397,0
Sekyere Kumawu,0.0,0.0,0.0,-0.24457138776494397,0
Sekyere South,0.0,0.0,0.0,-0.24457138776494397,0
Dormaa Municipal,0.0,0.0,0.0,-0.24457138776494397,0
Abura / Asebu / Kwamankese,0.0,0.0,0.0,-0.24457138776494397,0
